Material: 316 Stainless Steel
Tension Test Strain Rate: 0.001/s
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)
3.352480e+000	1.280156e+001
3.365058e+000	1.281289e+001
3.377500e+000	1.283301e+001
3.392128e+000	1.284160e+001
3.402792e+000	1.285664e+001
3.415234e+000	1.286953e+001
3.427949e+000	1.287539e+001
3.443398e+000	1.289277e+001
3.455839e+000	1.289668e+001
3.470742e+000	1.290684e+001
3.479218e+000	1.292715e+001
3.496582e+000	1.293574e+001
3.507792e+000	1.294727e+001
3.519687e+000	1.295957e+001
3.532675e+000	1.297715e+001
3.548535e+000	1.298125e+001
3.559199e+000	1.298867e+001
3.570683e+000	1.299648e+001
3.581894e+000	1.301875e+001
3.597753e+000	1.302676e+001
3.608418e+000	1.304141e+001
3.622773e+000	1.305332e+001
3.635078e+000	1.306445e+001
3.646015e+000	1.307441e+001
3.660918e+000	1.308281e+001
3.670488e+000	1.309356e+001
3.687441e+000	1.310625e+001
3.698789e+000	1.312031e+001
3.710683e+000	1.313262e+001
3.723261e+000	1.315117e+001
3.735156e+000	1.316816e+001
3.748144e+000	1.317969e+001
3.762773e+000	1.318984e+001
3.774667e+000	1.319746e+001
3.787246e+000	1.320566e+001
3.798730e+000	1.321523e+001
3.812675e+000	1.322500e+001
3.827578e+000	1.324121e+001
3.837421e+000	1.325000e+001
3.850683e+000	1.326426e+001
3.863125e+000	1.327285e+001
3.878164e+000	1.329023e+001
3.888144e+000	1.330117e+001
3.904687e+000	1.331563e+001
3.918085e+000	1.332871e+001
3.927382e+000	1.333789e+001
3.944335e+000	1.335254e+001
3.955273e+000	1.335488e+001
3.967851e+000	1.336719e+001
3.979746e+000	1.337051e+001
3.988085e+000	1.338457e+001
4.003808e+000	1.339824e+001
4.019531e+000	1.340742e+001
4.031015e+000	1.342598e+001
4.040449e+000	1.344316e+001
4.051386e+000	1.344902e+001
4.070937e+000	1.345684e+001
4.085019e+000	1.346250e+001
4.095273e+000	1.346836e+001
4.104433e+000	1.347617e+001
4.117695e+000	1.349746e+001
4.125078e+000	1.350488e+001
4.144492e+000	1.351953e+001
4.154199e+000	1.353066e+001
4.166503e+000	1.354375e+001
4.180585e+000	1.355117e+001
4.192890e+000	1.356523e+001
4.205605e+000	1.357734e+001
4.219414e+000	1.358867e+001
4.231718e+000	1.359766e+001
4.242656e+000	1.361035e+001
4.257832e+000	1.362266e+001
4.270273e+000	1.363164e+001
4.281894e+000	1.363770e+001
4.294199e+000	1.365156e+001
4.308828e+000	1.366328e+001
4.320722e+000	1.367969e+001
4.330976e+000	1.369023e+001
4.345195e+000	1.370488e+001
4.359003e+000	1.371328e+001
4.367617e+000	1.371504e+001
4.384570e+000	1.372441e+001
4.397011e+000	1.372930e+001
4.411777e+000	1.374258e+001
4.421210e+000	1.375840e+001
4.433652e+000	1.376895e+001
4.450195e+000	1.378223e+001
4.458398e+000	1.379629e+001
4.472207e+000	1.380391e+001
4.486699e+000	1.381270e+001
4.499687e+000	1.382012e+001
4.513906e+000	1.383262e+001
4.523886e+000	1.384551e+001
4.537695e+000	1.386348e+001
4.549863e+000	1.387188e+001
4.564082e+000	1.388164e+001
4.579257e+000	1.389238e+001
4.593613e+000	1.390020e+001
4.603593e+000	1.390606e+001
4.615078e+000	1.391582e+001
4.626015e+000	1.393184e+001
4.637636e+000	1.394551e+001
4.654726e+000	1.395254e+001
4.661425e+000	1.396523e+001
4.677832e+000	1.398145e+001
4.688222e+000	1.398867e+001
4.702578e+000	1.399824e+001
4.715566e+000	1.400723e+001
4.728417e+000	1.401914e+001
4.737714e+000	1.403340e+001
4.749199e+000	1.404121e+001
4.762187e+000	1.405430e+001
4.779003e+000	1.405801e+001
4.790898e+000	1.406738e+001
4.803203e+000	1.407852e+001
4.815644e+000	1.408184e+001
4.829042e+000	1.409551e+001
4.840664e+000	1.411445e+001
4.852968e+000	1.412285e+001
4.864589e+000	1.413223e+001
4.882363e+000	1.414102e+001
4.894667e+000	1.415234e+001
4.904101e+000	1.415840e+001
4.920371e+000	1.416680e+001
4.932265e+000	1.417949e+001
4.941972e+000	1.419356e+001
4.957695e+000	1.419785e+001
