Material: 6061-T6 Aluminum
Tension Test Strain Rate: 0.001/s
Extensometer Gauge Length = 12.70 mm (neck formed between extensometer)
Gauge Length (postn): Lo = 50.80 mm
Initial Diamter: Do = 6.35 mm
Disp.(mm)	Force(kN)	Extensometer(mm)
2.114100e+000	9.877440e+000	4.959020e-001
2.126100e+000	9.884210e+000	4.987450e-001
2.135600e+000	9.876730e+000	5.015020e-001
2.146700e+000	9.876670e+000	5.042720e-001
2.158000e+000	9.885790e+000	5.069490e-001
2.169100e+000	9.888290e+000	5.096640e-001
2.178800e+000	9.885520e+000	5.124680e-001
2.190800e+000	9.900300e+000	5.151190e-001
2.202000e+000	9.895320e+000	5.180380e-001
2.211800e+000	9.889630e+000	5.205750e-001
2.222900e+000	9.895240e+000	5.234140e-001
2.233900e+000	9.889720e+000	5.259840e-001
2.243100e+000	9.902450e+000	5.284520e-001
2.254700e+000	9.899140e+000	5.314320e-001
2.264100e+000	9.914850e+000	5.339320e-001
2.272900e+000	9.914070e+000	5.360890e-001
2.285200e+000	9.896760e+000	5.391110e-001
2.295000e+000	9.911150e+000	5.417120e-001
2.304800e+000	9.923400e+000	5.442330e-001
2.315600e+000	9.921970e+000	5.470310e-001
2.327200e+000	9.925220e+000	5.496300e-001
2.337300e+000	9.920090e+000	5.525800e-001
2.349500e+000	9.929420e+000	5.551410e-001
2.358700e+000	9.941400e+000	5.576580e-001
2.370500e+000	9.932970e+000	5.603820e-001
2.379200e+000	9.925340e+000	5.629640e-001
2.390700e+000	9.946410e+000	5.657800e-001
2.402500e+000	9.924230e+000	5.684950e-001
2.413200e+000	9.934930e+000	5.711790e-001
2.425100e+000	9.943460e+000	5.738400e-001
2.434700e+000	9.935170e+000	5.767570e-001
2.443500e+000	9.935980e+000	5.789500e-001
2.454400e+000	9.948460e+000	5.818400e-001
2.464600e+000	9.957970e+000	5.842850e-001
2.475700e+000	9.963630e+000	5.871500e-001
2.486600e+000	9.954180e+000	5.895500e-001
2.496700e+000	9.947810e+000	5.923760e-001
2.507400e+000	9.955850e+000	5.948230e-001
2.517400e+000	9.969530e+000	5.976020e-001
2.528300e+000	9.967680e+000	6.002670e-001
2.540100e+000	9.954510e+000	6.028550e-001
2.548000e+000	9.976180e+000	6.051770e-001
2.557500e+000	9.967630e+000	6.078870e-001
2.568500e+000	9.969170e+000	6.102120e-001
2.581100e+000	9.972450e+000	6.135010e-001
2.591200e+000	9.973140e+000	6.160890e-001
2.602000e+000	9.971740e+000	6.189480e-001
2.612900e+000	9.985890e+000	6.215950e-001
2.623700e+000	9.973320e+000	6.245400e-001
2.636000e+000	9.994780e+000	6.271230e-001
2.645600e+000	9.981390e+000	6.300680e-001
2.657000e+000	9.982560e+000	6.331150e-001
2.667100e+000	9.986130e+000	6.358050e-001
2.677600e+000	1.001218e+001	6.384030e-001
2.689000e+000	1.000482e+001	6.413250e-001
2.700200e+000	9.988640e+000	6.441070e-001
2.710500e+000	1.001024e+001	6.470230e-001
2.722400e+000	9.991740e+000	6.497310e-001
2.733900e+000	9.993850e+000	6.523310e-001
2.744500e+000	1.001325e+001	6.551630e-001
2.754600e+000	1.000074e+001	6.581530e-001
2.764000e+000	1.001179e+001	6.605730e-001
2.777000e+000	1.000351e+001	6.634210e-001
2.786700e+000	1.001191e+001	6.662310e-001
2.797000e+000	1.001239e+001	6.690750e-001
2.809600e+000	1.000613e+001	6.716670e-001
2.818800e+000	1.001236e+001	6.742540e-001
2.828900e+000	1.001322e+001	6.767500e-001
2.839600e+000	1.003283e+001	6.796270e-001
2.850900e+000	1.001143e+001	6.828140e-001
2.861500e+000	1.002282e+001	6.852160e-001
2.872200e+000	1.003015e+001	6.879090e-001
2.882200e+000	1.003024e+001	6.907870e-001
2.893400e+000	1.002333e+001	6.937090e-001
2.903300e+000	1.003501e+001	6.962780e-001
2.914900e+000	1.003954e+001	6.989780e-001
2.926700e+000	1.002830e+001	7.019470e-001
2.936200e+000	1.004034e+001	7.044940e-001
2.946900e+000	1.003715e+001	7.074860e-001
2.958800e+000	1.003572e+001	7.100460e-001
2.968700e+000	1.004592e+001	7.128940e-001
2.980300e+000	1.003808e+001	7.159490e-001
2.989600e+000	1.004621e+001	7.184380e-001
3.001500e+000	1.005161e+001	7.214580e-001
3.012200e+000	1.003590e+001	7.239930e-001
3.021200e+000	1.005521e+001	7.269350e-001
3.032800e+000	1.005387e+001	7.296250e-001
3.043800e+000	1.004767e+001	7.319690e-001
3.053500e+000	1.005980e+001	7.348290e-001
3.065600e+000	1.007062e+001	7.373760e-001
3.074400e+000	1.006579e+001	7.403490e-001
